file,version,commit_id
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/Bug.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/HiveRelOptUtil.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveFilterProjectTSTransposeRule.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveFilterProjectTransposeRule.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
iceberg/iceberg-handler/src/test/java/org/apache/iceberg/mr/hive/TestOptimisticRetry.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/reexec/ReExecuteOnWriteConflictPlugin.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/exec/tez/CustomPartitionVertex.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
jdbc-handler/src/main/java/org/apache/hive/storage/jdbc/dao/GenericJdbcDatabaseAccessor.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/udf/GenericUDFIcebergBucket.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/main/java/org/apache/hive/hplsql/Exec.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/main/java/org/apache/hive/hplsql/Expression.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/main/java/org/apache/hive/hplsql/Select.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/main/java/org/apache/hive/hplsql/Stmt.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/main/java/org/apache/hive/hplsql/Utils.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/main/java/org/apache/hive/hplsql/Var.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/main/java/org/apache/hive/hplsql/functions/BuiltinFunctions.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/main/java/org/apache/hive/hplsql/functions/FunctionDatetime.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/main/java/org/apache/hive/hplsql/functions/FunctionMisc.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/main/java/org/apache/hive/hplsql/functions/FunctionString.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
hplsql/src/test/java/org/apache/hive/hplsql/TestHplsqlLocal.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
itests/hive-unit/src/test/java/org/apache/hive/beeline/TestHplSqlViaBeeLine.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFMkCollectionEvaluator.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
serde/src/java/org/apache/hadoop/hive/serde2/lazy/LazyStruct.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
serde/src/test/org/apache/hadoop/hive/serde2/lazy/TestLazyStruct.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/mapreduce/IcebergInternalRecordWrapper.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/exec/CommonJoinOperator.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFTimestamp.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorFilterCompare.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveAggregateReduceFunctionsRule.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/SqlFunctionConverter.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
jdbc-handler/src/main/java/org/apache/hive/storage/jdbc/dao/JdbcRecordIterator.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/txn/compactor/TestCrudCompactorOnTez.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestInputOutputFormat.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java,4.0.1,3af4517eb8cfd9407ad34ed78a0b48b57dfaa264
