version,Mean AUC,Mean Precision,Mean Recall,Mean F1-Score
2.0.0,0.28116180139891356,0.08333333333333333,0.004081632653061224,0.007767722473604827
2.1.0,0.2743304571184234,0.04,0.005714285714285714,0.01
2.2.0,0.2539399057228683,0.02857142857142857,0.0058823529411764705,0.00975609756097561
2.3.0,0.24278412596642868,0.03333333333333333,0.004545454545454545,0.008
3.0.0,0.6173376238475268,0.5413969147465801,0.7512378166308968,0.6290755131299093
3.1.0,0.20747828547847996,0.0,0.0,0.0
4.0.0,0.29077357619447436,0.0,0.0,0.0
